lot	purchaseDate	supplier	item_count	total_value_sum	items_preview
20260105-001	2026-01-05	tiendas	2	6000	Recipientes plásticos; Frutas para hervidos
A2SAS-20260108-001	2026-01-08	A2 SAS	4	11700	Guantes nitrilo negro; Papel aluminio El Sol (16 m); Tapabocas sujeción 2QY …
ALKOSTO-20260106-001	2026-01-06	Alkosto	6	112500	Vodka; Jamón; Ginebra …
ALKOSTO-20260124-001	2026-01-24	Alkosto centro	14	293798	Papelera roja coltp pedal 25 L; Uva Red Globe nacional; Vaso Can Glass 12 oz …
BODEGA-BAVARIA-20260208	2026-02-08	Bodega Bavaria	3	193397	Cerveza Poker LTA 330 cc; Cerveza Club Colombia LTA; Cerveza Budweiser LTA 269 cc
CARNESSEBASTIAN-20260106-001	2026-01-06	Carnes del Sebastián	2	0	Jamón de cerdo sánduche; Queso doble crema Colácteos
ChapilDeLosPastos	2026-02-13	Chapil de los pastos	1	36000	Chapil de los pastos
COMPRA-20260207-001	2026-02-07	Compras 7 feb	3	12000	Lulo; Tomate; Albahaca
COMPRA-20260208-001	2026-02-08	Compras 8 feb	3	12000	Maracuyá; Arándanos; Menta
D1-31012026	2026-01-31	Tiendas D1	9	42830	Papel higiénico 3H; Gaseosa Coca-Cola; Gaseosa Schweppes …
DOLLARCITY-20260117-F1L11300084	2026-01-17	Dollarcity – Tienda 3057 (Unico Pasto)	10	127000	Copa de vino 3PK; Bolsa ecológica DC grande; Jarra con tapa color 1L …
ESQUINA-20260131	2026-01-31	Tiendas esquina	2	10000	Azúcar morena; Anís estrellado
EXITO-20260104-001	2026-01-04	Éxito	4	61999.96	Soda; Jugo de arándano; Cubiertos …
EXITO-20260108-001	2026-01-08	Éxito	8	13465	Corazón hojaldra; Salsa de tomate; Mayonesa D&P …
EXITO-20260129-TV	2026-01-29	Almacenes Éxito Pasto	3	1127000	TV Samsung 40"; Base para el TV; Seguro del TV
irina	2026-01-23		4	175500	Aguardiente Nariño; Aguardiente Nariño; Domecq …
JUMBO-20251227-001	2025-12-27	Jumbo	11	0	Cerveza Heineken lata; Gaseosa Coca-Cola 2.5L; Lechuga batavia (0.458 kg) …
LAMERCED-20260105-001	2026-01-05	La Merced	1	0	Pollo frito
Las Monas	2026-02-13	Tienda Las Monas	1	34000	Canela, anís y pulpas
Parqueadero	2026-02-13	Parqueadero	1	26100	Empanadas
Paty	2026-02-12	Paty	1	33400	Triple sec
PATY-20260103-001	2026-01-03	Patty	36	692156	Ponqué Ramo; Queso Colanta; Mostaneza Rancho La Constancia …
PROVEEDORCAFE-20260112-001	2026-01-12	Proveedor Café	2	74000	Café especial Buesaco; Café La Jacoba
PROVEEDORNOE-20241229-001	2024-12-29	Proveedor no especificado	15	618883.41	Club Colombia Trigo; Poker latas; Four Loko …
PROVEEDORNOE-20250103-001	2025-01-03	Proveedor no especificado	2	2400	Leche Alquería semidescremada; Papel Higiénico
STOKSONIA-20241201-001	2024-12-01	Proveedor no especificado	67	4617250	Aguardiente; Aguardiente Nariño; Chapil artesanal …
TIENDAESQUIN-20260107-001	2026-01-07	Tienda esquina 	1	0	Leche Colácteos 
TIENDAESQUIN-20260108-001	2026-01-08	Tienda esquina	3	2000	Limpido; Fabuloso; Papel higiénico
TIENDAESQUINA-20260106-001	2026-01-06	La tienda de la esquina	2	0	Queso mozzarella; Pulpas de fruta para cócteles
TIENDAESQUINA-20260119-001	2026-01-19	tienda de la esquina	1	0	Café Sello Rojo