Producto,Categoría,Cantidad,Unidad,Precio Unitario,Valor Total,Lote,Proveedor,Fecha Compra
"Arándanos","acompañantes",1,"Unidad",11700,11700,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Baguette","acompañantes",1,"Unidad",7800,7800,"EXITO-20260108-001","Éxito","2026-01-08"
"Baguette Cuisine & Co","acompañantes",2,"Unidad",12900,25800,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Corazón hojaldra","acompañantes",1,"Unidad",14900,14900,"EXITO-20260108-001","Éxito","2026-01-08"
"Festival palillos doble","acompañantes",2,"Paquete",2100,4200,"PATY-20260103-001","Patty","2026-01-03"
"Galleta Liberal Guayaba","acompañantes",4,"Unidad",2300,9200,"EXITO-20260108-001","Éxito","2026-01-08"
"Gaseosa Coca-Cola 2.5L","acompañantes",1,"Botella",15200,15200,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Jamón","acompañantes",2,"Unidad",13000,26000,"ALKOSTO-20260106-001","Alkosto","2026-01-06"
"Jamón de cerdo sánduche","acompañantes",1,"Unidad",7650,7650,"CARNESSEBASTIAN-20260106-001","Carnes del Sebastián","2026-01-06"
"Lechuga batavia (0.458 kg)","acompañantes",1,"Kilogramo",4580,4580,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Limón Tahití","acompañantes",1,"Unidad",1678,1678,"EXITO-20260108-001","Éxito","2026-01-08"
"Mayonesa D&P","acompañantes",1,"Unidad",16700,16700,"EXITO-20260108-001","Éxito","2026-01-08"
"Mezcla de ají","acompañantes",1,"Unidad",3530,3530,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Mostaneza Rancho La Constancia 190 g","acompañantes",1,"Unidad",6900,6900,"PATY-20260103-001","Patty","2026-01-03"
"Pan Resplandor","acompañantes",1,"Unidad",11500,11500,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Pollo frito","acompañantes",1,"Unidad",34000,34000,"LAMERCED-20260105-001","La Merced","2026-01-05"
"Ponqué Ramo","acompañantes",1,"Unidad",18590,18590,"PATY-20260103-001","Patty","2026-01-03"
"Queso","acompañantes",1,"Unidad",14000,14000,"ALKOSTO-20260106-001","Alkosto","2026-01-06"
"Queso Colanta","acompañantes",1,"Unidad",15900,15900,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Queso doble crema Colácteos","acompañantes",1,"Unidad",12400,12400,"CARNESSEBASTIAN-20260106-001","Carnes del Sebastián","2026-01-06"
"Sal Refisal","acompañantes",1,"Unidad",15790,15790,"PATY-20260103-001","Patty","2026-01-03"
"Salsa de tomate","acompañantes",1,"Unidad",8640,8640,"EXITO-20260108-001","Éxito","2026-01-08"
"Salsa de tomate Bary Doy Pack 200 g","acompañantes",1,"Unidad",4100,4100,"PATY-20260103-001","Patty","2026-01-03"
"Salsa mayonesa Bary Doy Pack 200 g","acompañantes",1,"Unidad",4100,4100,"PATY-20260103-001","Patty","2026-01-03"
"Tomate cherry","acompañantes",1,"Unidad",4225,4225,"EXITO-20260108-001","Éxito","2026-01-08"
"Tomate chonto (0.515 kg)","acompañantes",1,"Kilogramo",5180,5180,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Tomates","acompañantes",1,"Unidad",4000,4000,"ALKOSTO-20260106-001","Alkosto","2026-01-06"
"Bombillo Philips 5.5W","activos",1,"Unidad",2950,2950,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Cafetera moka","activos",1,"Unidad",30000,30000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Caja de madera","activos",1,"Unidad",14000,14000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Cenicero","activos",1,"Unidad",100000,100000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Colador de café","activos",2,"Unidad",2950,5900,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Combo mesa y sillas","activos",1,"Unidad",350000,350000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Copa coctel margarita","activos",5,"Unidad",9000,45000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Copas shot x12","activos",1,"Set",32000,32000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Cubiertos","activos",1,"Set",13000,13000,"EXITO-20260104-001","Éxito","2026-01-04"
"Cucharilla larga","activos",1,"Unidad",2500,2500,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Cuchillos x3","activos",1,"Set",12000,12000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Domos para tortas","activos",2,"Unidad",135000,270000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Encendedor para velas","activos",1,"Unidad",6000,6000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Exprimidor metálico","activos",1,"Unidad",16000,16000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Ganchos sujetadores","activos",1,"Unidad",8000,8000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Letrero luminoso","activos",1,"Unidad",500000,500000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Mesa Rimax","activos",1,"Unidad",100000,100000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Mug Bourbon Nashville Café","activos",3,"Unidad",3966.67,11900,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Nevera usada","activos",1,"Unidad",1000000,1000000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Papelera / Basurero negra","activos",1,"Unidad",32500,32500,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Parlante HK Onyx 2","activos",1,"Unidad",700000,700000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Pocillo café semi liso","activos",3,"Unidad",3900,11700,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Prensa francesa","activos",2,"Unidad",20000,40000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Recipientes plásticos","activos",3,"Unidad",2000,6000,"EXITO-20260105-001","Éxito","2026-01-05"
"Tabla para picar","activos",1,"Unidad",600000,600000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Termo café","activos",1,"Unidad",40000,40000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Tijera","activos",1,"Unidad",10000,10000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Vaso Moscow Mule","activos",6,"Unidad",35000,210000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Vaso tinto","activos",3,"Unidad",3666.67,11000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Vasos cerveza grande","activos",6,"Unidad",5000,30000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Vasos cerveza pequeño","activos",6,"Unidad",4000,24000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Vasos plásticos para vino","activos",6,"Unidad",7000,42000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Velas x12","activos",1,"Set",7000,7000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Cinta aislante Tesa colores 10 m","activos / insumos de mantenimiento",1,"Unidad",3800,3800,"PATY-20260103-001","Patty","2026-01-03"
"Cerveza Budweiser","cerveza",3,"unidad",5000,15000,"","Dr. Pablo","2026-01-17"
"Cerveza Budweiser","cerveza",3,"unidad",5000,15000,"","Mauricio Ortiz","2026-01-17"
"Cerveza Heineken","cerveza",6,"unidad",5000,30000,"","Dr. Pablo","2026-01-17"
"Cerveza Poker 330cm3","cerveza",3,"unidad",4500,13500,"","Dr. Pablo","2026-01-17"
"Cerveza Poker 330cm3","cerveza",7,"unidad",4500,31500,"","Mauricio Ortiz","2026-01-17"
"Cerveza Budweiser lata","cervezas",1,"Lata",5000,5000,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Cerveza Heineken lata","cervezas",1,"Lata",6450,6450,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Hervido de fruta de temporada ","coctel",2,"unidad",5000,10000,"","Mauricio Ortiz","2026-01-17"
"Bolsa papel Éxito","desechables",1,"Unidad",600,600,"EXITO-20260108-001","Éxito","2026-01-08"
"Bolsa plástica","desechables",1,"Unidad",60,60,"JUMBO-20251227-001","Jumbo","2025-12-27"
"Bolsa plástica (ICBP)","desechables",1,"Unidad",70,70,"PATY-20260103-001","Patty","2026-01-03"
"Caja de Carioca grande 380 ml","desechables",2,"Unidad",115000,230000,"PATY-20260103-001","Patty","2026-01-03"
"Caja de Icopor","desechables",1,"Pack",13000,13000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Copa Desechable Pequeña","desechables",1,"Pack",8000,8000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Festival palillos doble punta x 180 uds","desechables",1,"Unidad",2100,2100,"PATY-20260103-001","Patty","2026-01-03"
"Mezclador de bambú El Sol x 500 uds","desechables",1,"Unidad",4900,4900,"PATY-20260103-001","Patty","2026-01-03"
"Palillos","desechables",1,"Pack",2100,2100,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Papel aluminio El Sol (16 m)","desechables",1,"Unidad",6300,6300,"A2SAS-20260108-001","A2 SAS","2026-01-08"
"Pitillo biodegradable x 250 und","desechables",1,"Unidad",5400,5400,"A2SAS-20260108-001","A2 SAS","2026-01-08"
"Servilletas","desechables",2,"Paquete",6000,12000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Tapa para Vaso","desechables",1,"Pack",4600,4600,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Tapas para vaso 6 oz","desechables",1,"Pack",4600,4600,"PATY-20260103-001","Patty","2026-01-03"
"Tapas para vaso 6 oz bebida caliente","desechables",1,"Pack",4600,4600,"PATY-20260103-001","Patty","2026-01-03"
"Tapper pequeño x 330 U","desechables",1,"Unidad",2200,2200,"GRUPOEMPRESA-20260105-001","Grupo Empresarial A2 SAS","2026-01-05"
"Tapper pequeño x 330 U","desechables",1,"Unidad",2200,2200,"GRUPOEMPRESA-20260105-001","Grupo Empresarial A2 SAS","2026-01-05"
"Tapper pequeño x 330 U","desechables",1,"Unidad",2200,2200,"GRUPOEMPRESA-20260105-001","Grupo Empresarial A2 SAS","2026-01-05"
"Vaso de Icopor","desechables",1,"Pack",6000,6000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Vaso de Papel","desechables",1,"Pack",5500,5500,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Aromáticas","insumos para café",1,"Unidad",4000,4000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Arándanos","insumos para café",1,"Unidad",25980,25980,"PATY-20260103-001","Patty","2026-01-03"
"Azúcar","insumos para café",1,"Bolsa",5000,5000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Baguette CUI","insumos para café",1,"Unidad",12500,12500,"PATY-20260103-001","Patty","2026-01-03"
"Bolsa para colar café","insumos para café",2,"Unidad",5900,11800,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Café Instantáneo","insumos para café",1,"Frasco",11000,11000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Café La Jacoba","insumos para café",1,"Paquete",37000,37000,"PROVEEDORCAFE-20260112-001","Proveedor Café","2026-01-12"
"Café Sello Rojo","insumos para café",2,"Paquete",16000,32000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Café especial Buesaco","insumos para café",1,"Paquete",37000,37000,"PROVEEDORCAFE-20260112-001","Proveedor Café","2026-01-12"
"Frutas para hervidos","insumos para café",2,"Libra",6500,13000,"EXITO-20260105-001","Éxito","2026-01-05"
"Jamón Cuisine","insumos para café",1,"Unidad",19990,19990,"PATY-20260103-001","Patty","2026-01-03"
"Leche Alquería semidescremada","insumos para café",1,"Bolsa",6000,6000,"PROVEEDORNOE-20250103-001","Proveedor no especificado","2025-01-03"
"Leche Colácteos ","insumos para café",1,"Unidad",5000,5000,"TIENDAESQUIN-20260107-001","Tienda esquina ","2026-01-07"
"Lechuga batavia","insumos para café",1,"Unidad",2084,2084,"PATY-20260103-001","Patty","2026-01-03"
"Queso Colanta","insumos para café",1,"Unidad",11180,11180,"PATY-20260103-001","Patty","2026-01-03"
"Queso mozzarella","insumos para café",1,"Unidad",7000,7000,"TIENDAESQUINA-20260106-001","La tienda de la esquina","2026-01-06"
"Tomate chonto","insumos para café",1,"Unidad",2668,2668,"PATY-20260103-001","Patty","2026-01-03"
"Aguardiente Nariño","licores",1,"Botella",48000,48000,"ALKOSTO-20260106-001","Alkosto","2026-01-06"
"Aperitivo Campari Milano","licores",1,"Botella",121900,121900,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Club Colombia Trigo","licores",2,"Lata",3648.33,7296.67,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Four Loko","licores",2,"Lata",15000,30000,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Poker latas","licores",82,"Lata",2666.67,218666.67,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Poker latones","licores",24,"Latón",3333.33,80000,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Ron Viejo de Caldas Tradicional","licores",2,"Botella",51900,103800,"PATY-20260103-001","Patty","2026-01-03"
"Ron Viejo de Caldas Tradicional 750 ml","licores",1,"Botella",51900,51900,"PATY-20260103-001","Patty","2026-01-03"
"Smirnoff Tamarindo","licores",2,"Botella",54750,109500,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Vino Cruzares","licores",1,"Botella",20000,20000,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Vino Santa Elena","licores",2,"Botella",66900,133800,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Vino tinto Cata Vieja","licores",2,"Botella",22900,45800,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Whisky Duggan's Dew","licores",1,"Botella",48000,48000,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Águila lata","licores",6,"Lata",3500,21000,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Águila latón","licores",3,"Latón",4000,12000,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Aguardiente","licores para shots",1,"Botella",51900,51900,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Aguardiente Nariño","licores para shots",3,"Botella",51900,155700,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Cerveza Budweiser","licores para shots",4,"Botella",18000,72000,"PATY-20260103-001","Patty","2026-01-03"
"Cerveza Coronita","licores para shots",1,"Botella",22200,22200,"PATY-20260103-001","Patty","2026-01-03"
"Cerveza Heineken","licores para shots",1,"Botella",19200,19200,"PATY-20260103-001","Patty","2026-01-03"
"Chapil artesanal","licores para shots",0.3,"Botella",10000,3000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Coñac Domecq","licores para shots",0.15,"Botella",15000,2250,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Ginebra","licores para shots",1,"Botella",64500,64500,"ALKOSTO-20260106-001","Alkosto","2026-01-06"
"Ginebra Gordon's","licores para shots",1,"Botella",78600,78600,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"José Cuervo Tequila","licores para shots",0.25,"Botella",110000,27500,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Tequila 1800","licores para shots",0.4,"Botella",240000,96000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Tequila Olmeca Blanco","licores para shots",1,"Botella",81500,81500,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Vodka","licores para shots",1,"Botella",70500,70500,"ALKOSTO-20260106-001","Alkosto","2026-01-06"
"Vodka Moskovskaya","licores para shots",1,"Botella",58800,58800,"PROVEEDORNOE-20241229-001","Proveedor no especificado","2024-12-29"
"Whisky Old Par","licores para shots",0.25,"Botella",250000,62500,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Whisky Something Special","licores para shots",0.3,"Botella",180000,54000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Cigarrillo","otros",1,"unidad",1000,1000,"","Dr. Pablo","2026-01-17"
"Cinta aislante Tesa","productos de limpieza",2,"Unidad",3800,7600,"PATY-20260103-001","Patty","2026-01-03"
"Desodorante Speed Stick Ultra Gel","productos de limpieza",1,"Unidad",34600,34600,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Escoba","productos de limpieza",1,"Unidad",10000,10000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Jabón de loza","productos de limpieza",1,"Unidad",5000,5000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Limpión microfibra carros","productos de limpieza",1,"Unidad",4200,4200,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Papel Higiénico","productos de limpieza",1,"Unidad",2400,2400,"PROVEEDORNOE-20250103-001","Proveedor no especificado","2025-01-03"
"Papel toalla Scott","productos de limpieza",1,"Rollo",16000,16000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Recogedor","productos de limpieza",1,"Unidad",10000,10000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Toallas higiénicas Kotex x10","productos de limpieza",2,"Paquete",3950,7900,"PATY-20260103-001","Patty","2026-01-03"
"Trapeador","productos de limpieza",1,"Unidad",10000,10000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Fabuloso","productos de limpieza / bioseguridad",1,"Unidad",3000,3000,"TIENDAESQUIN-20260108-001","Tienda esquina","2026-01-08"
"Guantes nitrilo negro","productos de limpieza / bioseguridad",1,"Unidad",1500,1500,"A2SAS-20260108-001","A2 SAS","2026-01-08"
"Limpido","productos de limpieza / bioseguridad",1,"Unidad",2000,2000,"TIENDAESQUIN-20260108-001","Tienda esquina","2026-01-08"
"Papel higiénico","productos de limpieza / bioseguridad",1,"Unidad",2000,2000,"TIENDAESQUIN-20260108-001","Tienda esquina","2026-01-08"
"Tapabocas sujeción 2QY","productos de limpieza / bioseguridad",1,"Unidad",500,500,"A2SAS-20260108-001","A2 SAS","2026-01-08"
"Toalla higiénica Kotex tela antibacter","productos de limpieza / bioseguridad",1,"Unidad",3950,3950,"PATY-20260103-001","Patty","2026-01-03"
"Marlboro morado azul x20","productos regulados",4,"Cajetilla",14400,57600,"PATY-20260103-001","Patty","2026-01-03"
"Marlboro rojo verde x20","productos regulados",5,"Cajetilla",14400,72000,"PATY-20260103-001","Patty","2026-01-03"
"Marlboro rojo x20","productos regulados",1,"Cajetilla",13700,13700,"PATY-20260103-001","Patty","2026-01-03"
"Base cóctel Brissart granadina","siropes y bases",1,"Botella",25200,25200,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Base cóctel Brissart maracuyá","siropes y bases",1,"Botella",25200,25200,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Base cóctel Finest Call Triple Sec","siropes y bases",1,"Botella",33300,33300,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Bebida chocolate polvo","siropes y bases",1,"Unidad",16100,16100,"EXITO-20260104-001","Éxito","2026-01-04"
"Bretaña","siropes y bases",1,"Botella",5000,5000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Bretaña personal x6","siropes y bases",1,"Paquete",12000,12000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Hielo bolsa","siropes y bases",2,"Bolsa",12000,24000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Jugo de arándano","siropes y bases",1,"Botella",28900,28900,"EXITO-20260104-001","Éxito","2026-01-04"
"Mezcla de ají","siropes y bases",1,"Unidad",5350,5350,"PATY-20260103-001","Patty","2026-01-03"
"Mezclador El Sol Dahu ZZI","siropes y bases",2,"Unidad",4900,9800,"PATY-20260103-001","Patty","2026-01-03"
"Mostaneza Rancho La Constancia","siropes y bases",2,"Unidad",6900,13800,"PATY-20260103-001","Patty","2026-01-03"
"Pulpas de fruta para cócteles","siropes y bases",1,"Unidad",13000,13000,"TIENDAESQUINA-20260106-001","La tienda de la esquina","2026-01-06"
"Salsa de tomate Bary doy pack","siropes y bases",2,"Pack",4100,8200,"PATY-20260103-001","Patty","2026-01-03"
"Salsa mayonesa Bary doy pack","siropes y bases",2,"Pack",4400,8800,"PATY-20260103-001","Patty","2026-01-03"
"Sirope arándanos","siropes y bases",1,"Botella",20000,20000,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Soda Bretaña","siropes y bases",36,"Unidad",444.44,16000,"EXITO-20260104-001","Éxito","2026-01-04"
"Soda Bretaña 1500 ml","siropes y bases",4,"Botella",3800,15200,"PATY-20260103-001","Patty","2026-01-03"
"Syrup Finest Call Blue Curacao","siropes y bases",1,"Botella",33300,33300,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Tajín","siropes y bases",1,"Unidad",5700,5700,"PROVEEDORNOE-20241201-001","Proveedor no especificado","2024-12-01"
"Shot Tequila Olmeca","tequila",4,"unidad",12000,48000,"","Dr. Pablo","2026-01-17"
