lote,proveedor,fecha_compra,cantidad_items,cantidad_total,valor_total
TIENDAESQUINA-20260119-001,tienda de la esquina,2026-01-19,1,245,26800
PROVEEDORCAFE-20260112-001,Proveedor Café,2026-01-12,2,2,74000
A2SAS-20260108-001,A2 SAS,2026-01-08,4,4,13700
EXITO-20260108-001,Éxito,2026-01-08,8,11,63743
TIENDAESQUIN-20260108-001,Tienda esquina,2026-01-08,3,3,7000
TIENDAESQUIN-20260107-001,Tienda esquina ,2026-01-07,1,1,5000
ALKOSTO-20260106-001,Alkosto,2026-01-06,6,7,227000
CARNESSEBASTIAN-20260106-001,Carnes del Sebastián,2026-01-06,2,2,20050
TIENDAESQUINA-20260106-001,La tienda de la esquina,2026-01-06,2,2,20000
EXITO-20260105-001,Éxito,2026-01-05,2,5,19000
GRUPOEMPRESA-20260105-001,Grupo Empresarial A2 SAS,2026-01-05,3,3,6600
LAMERCED-20260105-001,La Merced,2026-01-05,1,1,34000
EXITO-20260104-001,Éxito,2026-01-04,4,39,74000
PATY-20260103-001,Patty,2026-01-03,36,58,871152
JUMBO-20251227-001,Jumbo,2025-12-27,11,12,104900
PROVEEDORNOE-20250103-001,Proveedor no especificado,2025-01-03,2,2,8400
PROVEEDORNOE-20241229-001,Proveedor no especificado,2024-12-29,15,131,1066863.3399999999
PROVEEDORNOE-20241201-001,Proveedor no especificado,2024-12-01,67,101.65,5105800