id,nombre,tipo,categoria,precio,stock,costo,proveedor,lote,fecha_compra
acompanante,"Acompañante del día (Empanada, Buñuelo)",cafeteria,pasteleria,3000,,,,,
prod-1768501042805-nuujaxetr,Aguardiente Amarillo,bebida,vodka,60000,1,,,,
prod-1768501117516-e6h4r7rdp,Aguardiente Amarillo,bebida,vodka,60000,1,,,,
prod-1768501043986-dzy4iyvgk,Aguardiente Nariño,bebida,vodka,60000,5,,,,
prod-1768501119482-98cx2db9v,Aguardiente Nariño,bebida,vodka,60000,5,,,,
vino-tinto-botella,Botella vino Tinto Chile Santa Helena,bebida,vino,75000,2,,,,
cafe-aromatizado,Café aromatizado artesanal (canela / vainilla),cafeteria,cafe-caliente,5000,,730,,,
combo-cafe-pastel,Café artesanal caliente + pastel del día,cafeteria,combo,12000,,,,,
cafe-leche,Café artesanal con leche,cafeteria,cafe-caliente,5000,99,1630,,,
cafe-frio-leche,Café artesanal frío con leche,cafeteria,cafe-frio,5000,,1730,,,
cafe-frio,Café frío artesanal,cafeteria,cafe-frio,4000,,530,,,
cafe-helado,Café helado artesanal (affogato),cafeteria,cafe-frio,10000,,,,,
cafe-irlandes,Café irlandés,cafeteria,cafe-caliente,10000,998,11700,,,
cafe-negro,Café negro artesanal,cafeteria,cafe-caliente,4000,83,430,,,
carajillo,Carajillo,cafeteria,cafe-caliente,8000,996,2496,,,
cerveza-budweiser,Cerveza Budweiser,bebida,cerveza,3500,5,,,,
cerveza-club-colombia-330,Cerveza Club Colombia 330cm3,bebida,cerveza,4000,,3648.33,,,
cerveza-coronita,Cerveza Coronita,bebida,cerveza,5000,1,,,,
cerveza-heineken,Cerveza Heineken,bebida,cerveza,5000,2,,,,
cerveza-poker-330,Cerveza Poker 330cm3,bebida,cerveza,3500,,2666.67,,,
cerveza-poker-laton,Cerveza Poker Latón 475cm3,bebida,cerveza,5500,,3333.33,,,
cerveza-aguila-330,Cerveza Águila 330cm3,bebida,cerveza,3500,,3500,,,
prod-1768843715583-n44rw1kv2,Cigarrillo,bebida,otros,1000,10,,,,
bebida-1767479422734-8ofoa07j2,Coctel de soda sin licor ,bebida,coctel,15000,20,,,,
bebida-1767478125019-7gnyg8glz,Copa de vino ,bebida,vino,10000,2,,,,
coctel-arandano,Cóctel Arándano,bebida,coctel,15000,,6376,,,
bebida-1767478463497-c2aya0ta0,Cóctel de campari ,bebida,coctel,15000,1,5376,,,
bebida-1767478306369-c8s8nr6nh,Cóctel moscowmule,bebida,coctel,15000,1,5518.67,,,
gin-beefeater-botella,Ginebra Beefeater,bebida,ginebra,165000,1,,,,
gin-gordons-botella,Ginebra Gordon's,bebida,ginebra,165000,2,78600,,,
gin-gordons-shot,Ginebra Gordon's,bebida,ginebra,12000,2,3417,,,
bebida-1767479537737-5pcmv20sn,Hervido de fruta de temporada ,bebida,coctel,15000,20,,,,
bebida-1767479680271-wp5qa9j7m,Margaritas,bebida,coctel,15000,10,,,,
pastel-dia,Pastel del día,cafeteria,pasteleria,7000,,,,,
tequila-olmeca-shot,Shot Tequila Olmeca,bebida,tequila,12000,,3543,,,
sandwich-dia,Sándwich del día,cafeteria,pasteleria,10000,,,,,
tequila-jose-cuervo-botella,Tequila José Cuervo Especial,bebida,tequila,155000,,,,,
tequila-olmeca-botella,Tequila Olmeca,bebida,tequila,155000,1,81500,,,
vaso-leche,Vaso de leche,cafeteria,cafe-caliente,5000,,1200,,,
vino-caliente,Vino caliente,bebida,coctel,10000,,4500,,,
vodka-smirnoff-shot,Vodka Smirnoff,bebida,vodka,11000,1,,,,
vodka-smirnoff-botella,Vodka Smirnoff tamarindo,bebida,vodka,70000,3,,,,
vodka-skyy-botella,Vodka moskaya,bebida,vodka,12000,1,,,,
whisky-old-parr-shot,Whisky Old Parr / Passport Scotch / Jack Daniel's,bebida,whisky,14000,0.25,10870,,,